season,RESEARCHER,habitat,CARCASSID,MC,carcass,weight,DATE,TIME,COMBINED,PULLED,DECOMP DATE/TIME,ttt,Time,status
DRY,JOSH,TARAGUE,TD17JM1,H102,MOUSE,0.65,1/20/2016,22:15:58,1/20/2016 22:15,1/29/2017,1/26/2016 14:00,135:44,135.73,1
DRY,JOSH,TARAGUE,TD17JM4,H43,MOUSE,0.55,2/3/2017,14:40:31,2/3/2017 14:40,2/14/2017,2/11/2017 13:45,191:04,191.07,1
DRY,JOSH,TARAGUE,TD17JR1,H21,RAT,3.65,1/19/2017,9:45:00,1/19/2017 9:45,2/3/2017,1/25/2017 18:30,152:45,152.75,1
DRY,JOSH,TARAGUE,TD17JR3,GU35A,RAT,4.35,2/3/2017,14:53:36,2/3/2017 14:53,2/8/2017,2/6/2017 10:00,67:06,67.1,1
DRY,JOSH,TARAGUE,TD17JR4,GU13A,RAT,4.35,1/29/2017,10:32:29,1/29/2017 10:32,2/8/2017,2/2/2017 9:00,94:27,94.45,1
DRY,JOSH,TARAGUE,TD17JR5,GU43B,RAT,3.8,1/29/2016,23:00:00,1/29/2016 23:00,2/4/2016,2/3/2016 1:00,98:00,98,1
DRY,JOSH,TARAGUE,TD17JS1,GU36A,BTS,3.35,1/24/2017,13:55:02,1/24/2017 13:55,1/28/2017,1/28/2017 12:45,94:49,94.82,1
DRY,JOSH,TARAGUE,TD17JS3,H58,BTS,4.15,1/25/2016,11:51:20,1/25/2016 11:51,1/29/2016,1/29/2016 10:00,94:08,94.13,1
DRY,KELSEY,TARAGUE,TD17KM1,GU33B,MOUSE,0.56,1/24/2017,14:04:08,1/24/2017 14:04,1/29/2017,1/28/2017 12:15,94:10,94.17,1
DRY,KELSEY,TARAGUE,TD17KM4,GU33A,MOUSE,0.6,1/25/2017,11:51:28,1/25/2017 11:51,1/29/2017,1/29/2017 10:45,94:53,94.88,1
DRY,KELSEY,TARAGUE,TD17KM5,H49,MOUSE,0.65,1/29/2017,9:39:49,1/29/2017 9:39,2/3/2017,2/1/2017 20:45,83:05,83.08,1
DRY,KELSEY,TARAGUE,TD17KM7,GU29A,MOUSE,0.65,1/29/2017,10:34:11,1/29/2017 10:34,2/3/2017,2/2/2017 9:30,94:55,94.92,1
DRY,KELSEY,TARAGUE,TD17KR1,H60,RAT,2.5,1/20/2017,10:21:40,1/20/2017 10:21,1/24/2017,1/23/2017 10:00,71:38,71.63,1
DRY,JOSH,TARAGUE,TD17KR2,H27,RAT,2.7,1/19/2017,10:16:33,1/19/2017 10:16,1/24/2017,1/22/2017 23:45,85:28,85.47,1
DRY,KELSEY,TARAGUE,TD17KR2,GU37A,RAT,2.5,1/20/2017,10:39:12,1/20/2017 10:39,1/24/2017,1/23/2017 9:45,71:05,71.08,1
DRY,KELSEY,TARAGUE,TD17KS1,GU31B,BTS,3.3,1/19/2017,9:32:18,1/19/2017 9:32,1/24/2017,1/24/2017 5:15,115:42,115.7,1
DRY,KELSEY,TARAGUE,TD17KS2,H45,BTS,2.9,1/19/2017,9:55:21,1/19/2017 9:55,1/29/2017,1/27/2017 14:00,196:04,196.07,1
DRY,KELSEY,TARAGUE,TD17KS3,GU39B,BTS,2.1,2/3/2017,14:54:00,2/3/2017 14:54,2/14/2017,2/10/2017 7:00,160:06,160.1,1
DRY,LAUREN,TARAGUE,TD17LM2,GU42A,MOUSE,0.6,1/19/2017,10:38:47,1/19/2017 10:38,1/29/2017,1/24/2017 5:30,114:51,114.85,1
DRY,LAUREN,TARAGUE,TD17LR2,H105,RAT,4,1/24/2017,21:37:03,1/24/2017 21:37,2/3/2017,1/30/2017 20:45,143:07,143.12,1
DRY,LAUREN,TARAGUE,TD17LR3,H24,RAT,2.9,1/25/2016,12:03:00,1/25/2016 12:03,2/3/2016,1/29/2016 11:00,94:57,94.95,1
DRY,LAUREN,TARAGUE,TD17LR4,GU47B,RAT,3.85,2/3/2016,14:52:13,2/3/2016 14:52,2/8/2016,2/6/2016 19:30,76:37,76.62,1
DRY,LAUREN,TARAGUE,TD17LS1,H92,BTS,3.3,1/19/2017,20:16:53,1/19/2017 20:16,2/2/2017,1/27/2017 20:15,191:58,191.97,1
DRY,LAUREN,TARAGUE,TD17LS3,GU34B,BTS,3.4,1/29/2017,10:48:22,1/29/2017 10:48,2/8/2017,2/4/2017 7:00,140:11,140.18,1
DRY,LAUREN,TARAGUE,TD17LS4,GU23B,BTS,2.7,2/3/2017,1:19:44,2/3/2017 1:19,2/7/2017,2/7/2017 20:00,114:40,114.67,1
DRY,LAUREN,TARAGUE,TD17LS5,H111,BTS,4.15,2/14/2017,14:25:29,2/14/2017 14:25,2/22/2017,2/20/2017 8:00,137:34,137.57,1
DRY,JOSH,UPLAND,UD17JM1,GU5A,MOUSE,0.55,1/20/2016,12:02:31,1/20/2016 12:02,1/29/2016,1/23/2016 10:45,70:42,70.7,1
DRY,JOSH,UPLAND,UD17JM2,GU47B,MOUSE,3.85,1/20/2016,12:26:11,1/20/2016 12:26,1/29/2016,1/24/2016 0:30,84:03,84.05,1
DRY,JOSH,UPLAND,UD17JM3,H74,MOUSE,0.5,1/20/2016,13:20:47,1/20/2016 13:20,1/24/2016,1/23/2016 9:15,67:54,67.9,1
DRY,JOSH,UPLAND,UD17JM4,GU39A,MOUSE,0.55,1/20/2016,13:38:45,1/20/2016 13:38,1/24/2016,1/24/2016 10:15,92:36,92.6,1
DRY,JOSH,UPLAND,UD17JM5,GU36B,MOUSE,0.45,1/25/2017,13:06:28,1/25/2017 13:06,1/29/2017,1/28/2017 18:00,76:53,76.88,1
DRY,JOSH,UPLAND,UD17JR1,GU49A,RAT,4.6,1/29/2016,13:06:23,1/29/2016 13:06,2/8/2016,2/2/2016 12:15,95:08,95.13,1
DRY,JOSH,UPLAND,UD17JR2,H93,RAT,3.3,1/29/2016,13:31:34,1/29/2016 13:31,2/3/2016,2/1/2016 18:00,76:28,76.47,1
DRY,JOSH,UPLAND,UD17JR3,GU27B,RAT,4.05,2/3/2017,11:02:36,2/3/2017 11:02,2/8/2017,2/7/2017 7:15,92:12,92.2,1
DRY,JOSH,UPLAND,UD17JR4,H60,RAT,4.1,2/4/2017,0:15:00,2/4/2017 0:15,2/8/2017,2/7/2017 1:45,73:30,73.5,1
DRY,JOSH,UPLAND,UD17JS1,H98,BTS,4.1,1/24/2016,11:23:07,1/24/2016 11:23,2/3/2016,1/31/2016 12:15,168:51,168.85,1
DRY,JOSH,UPLAND,UD17JS2,GU29B,BTS,2.6,1/25/2017,12:53:53,1/25/2017 12:53,2/3/2017,1/31/2017 7:15,138:21,138.35,1
DRY,JOSH,UPLAND,UD17JS3,GU5A,BTS,7.7,2/3/2016,13:10:36,2/3/2016 13:10,2/14/2016,2/8/2016 6:45,113:34,113.57,1
DRY,KELSEY,UPLAND,UD17KM1,GU50A,MOUSE,0.5,1/20/2017,13:02:57,1/20/2017 13:02,1/29/2017,1/28/2017 9:00,187:57,187.95,1
DRY,KELSEY,UPLAND,UD17KM2,GU32A,MOUSE,0.6,1/25/2017,12:45:00,1/25/2017 12:45,2/3/2017,1/30/2017 7:45,115:00,115,1
DRY,KELSEY,UPLAND,UD17KM4,H42,MOUSE,0.6,1/29/2017,13:09:23,1/29/2017 13:09,2/8/2017,2/3/2017 17:30,124:20,124.33,1
DRY,KELSEY,UPLAND,UD17KR2,GU22B,RAT,3.9,1/29/2017,12:06:26,1/29/2017 12:06,2/3/2017,2/2/2017 13:15,97:08,97.13,1
DRY,KELSEY,UPLAND,UD17KR3,H18,RAT,2.8,1/20/2017,13:24:34,1/20/2017 13:24,1/29/2017,1/27/2017 12:14,166:50,166.83,1
DRY,KELSEY,UPLAND,UD17KR4,H84,RAT,3.4,1/20/2017,13:46:05,1/20/2017 13:46,1/29/2017,1/23/2017 9:00,67:13,67.22,1
DRY,KELSEY,UPLAND,UD17KS1,GU26A,BTS,3.9,1/28/2017,11:42:09,1/28/2017 11:42,2/2/2017,2/2/2017 21:00,129:17,129.28,1
DRY,KELSEY,UPLAND,UD17KS2,GU28A,BTS,0.9,2/3/2017,13:19:43,2/3/2017 13:19,2/14/2017,2/9/2017 13:00,143:40,143.67,1
DRY,LAUREN,UPLAND,UD17LM2,GU54A,MOUSE,0.55,1/29/2017,13:12:00,1/29/2017 13:12,2/3/2017,2/3/2017 7:30,114:18,114.3,1
DRY,LAUREN,UPLAND,UD17LM3,GU37B,MOUSE,0.6,1/28/2017,23:31:26,1/28/2017 23:31,2/2/2017,2/1/2017 16:45,89:13,89.22,1
DRY,LAUREN,UPLAND,UD17LR1,GU38A,RAT,2.35,1/25/2017,13:06:44,1/25/2017 13:06,2/3/2017,1/28/2017 18:30,77:23,77.38,1
DRY,LAUREN,UPLAND,UD17LR2,H80,RAT,2.6,1/25/2017,13:22:11,1/25/2017 13:22,2/3/2017,1/30/2017 16:00,122:37,122.62,1
DRY,LAUREN,UPLAND,UD17LS1,H70,BTS,2.2,1/19/2017,11:48:00,1/19/2017 11:48,1/29/2017,1/27/2017 17:00,197:12,197.2,1
DRY,LAUREN,UPLAND,UD17LS3,H54,BTS,2.55,1/19/2017,11:12:50,1/19/2017 11:12,1/28/2017,1/25/2017 22:30,155:17,155.28,1
DRY,LAUREN,UPLAND,UD17LS4,GU30A,BTS,3.65,1/20/2017,14:12:53,1/20/2017 14:12,1/29/2017,1/25/2017 12:15,118:02,118.03,1
DRY,LAUREN,UPLAND,UD17LS5,H97,BTS,7.65,2/3/2017,13:27:52,2/3/2017 13:27,2/14/2017,2/8/2017 8:30,115:02,115.03,1
DRY,KELSEY,TARAGUE,TD17KM9,H24,MOUSE,0.55,3/3/2017,15:05:13,3/3/2017 15:05,3/15/2017,3/8/2017 11:30,116:24,116.4,1
WET,KELSEY,TARAGUE,KTDS1,H105,BTS,2.1,7/2/2016,10:39:23,7/2/2016 10:39,7/9/2016,7/6/2016 16:30,101:50,101.83,1
WET,KELSEY,TARAGUE,KTDS2,H42,BTS,3.4,7/2/2016,11:10:00,7/2/2016 11:10,7/9/2016,7/7/2016 9:00,117:50,117.83,1
WET,KELSEY,UPLAND,KUDS1,GU24A,BTS,3.1,7/2/2016,11:38:59,7/2/2016 11:38,7/9/2016,7/7/2016 10:15,118:36,118.6,1
WET,KELSEY,UPLAND,KUDS2,H59,BTS,4.59,7/2/2016,12:08:12,7/2/2016 12:08,7/9/2016,7/9/2016 10:30,166:21,166.35,1
