season,habitat,Carcass ID,Person,MC#,Trial #,carcass,location,WEIGHT,w2,Date/time placed,Date trial End,Date Pulled,TimeRight,What was left?,Fully decomposed?,Fully Decomposed Date/Time,FULLY SCAVENGED BY VERTEBRATE,Time,Status,Species,FPU,F,P,U,SCAVED,Richness,TRIED?,DATE/TIME,TRIED?,DATE/TIME,Ant hill,SCAVENGERS,verts,BTS,Date/Time Scavenged,Monitor Lizard,Date/Time Scavenged,Cane Toad,Date/Time Scavenged,Pig,Date/Time Scavenged,Dog,Date/Time Scavenged,Cat,Date/Time Scavenged,Chicken,Date/Time Scavenged,Rat,Date/Time Scavenged,Mouse,Date/Time Scavenged,inverts,Coconut Crab,Date/Time Scavenged,Land Crab,Date/Time Scavenged,Hermit Crab,Date/Time Scavenged,Unknown,date/time,VISITORS,Verts,BTS,Monitor Lizard,Cane Toad,Frogs,deer,Skink,Pig,Dog,Cat,Chicken,Rat,Gecko,Mouse,Shrew,Gunther's Frog,Francolin,Pacific Reef Heron,Pacific Golden Plover,Yellow Bittern,inverts,Coconut Crab,Land Crab,Snails,Slugs,Hermit Crab,Worm Thing,Spider,Roaches,PASSED,Verts,BTS,Monitor Lizard,Cane Toad,Frogs,Deer,Skink,Pig,Dog,Cat,Chicken,Rat,Mouse,Shrew,Pacific Reef Heron,Pacific Golden Plover,Yellow Bittern,Phillipine Collared Dove,inverts,Coconut Crab,Land Crab,hermit crabs,Snails,Slugs,Worm Thing,Spider,Roaches,VISITORS AFTER DECOMPOSTION,Verts,BTS,Monitor Lizard,Cane Toad,Frogs,Deer,Skink,Pig,Dog,Cat,Chicken,Rat,Mouse,Shrew,Dove,Bittern,inverts,Coconut Crab,Hermit Crab,Land Crab,Snails,Slugs,Butterflies,Notes
WET,T,TMMO15,MATT,H54,5,Mouse,OPEN,2.7,27,6/23/2016 14:34,,,Yes,Gone,,,6/25/2016 3:24,1.53,1,BTS,FULLY,1,,,1,1,,,,,,1,,1,6/25/2016 3:24,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WET,T,TKMB22,KELSEY,H70,7,Mouse,BURROW,3.75,37.5,7/11/2016 12:20,,,Yes,gone,,,7/12/2016 7:56,0.82,1,MONITOR LIZARD,FULLY,1,,,1,1,,,,,,1,,,,1,7/12/2016 7:55,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WET,T,TMMO16,MATT,H101,5,Mouse,OPEN,4.6,46,6/23/2016 16:17,,,Yes,"No tissue, ~90% bones, some fur",,6/26/2016 10:30,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WET,U,UJMO4,JOSH,H20,2,Mouse,OPEN,4.85,48.5,6/6/2016 11:17,,,Yes,"tail, skull, pulled fur",,,6/9/2016 4:26,2.71,0,CANE TOAD,PARTIALLY,,1,,1,1,CANE TOAD,6/7/2016 1:49,,,,1,,,,,,1,6/9/2016 4:26,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TOAD HAD IT IN ITS MOUTH AND SPIT IT OUT. BY THE TIME A TOAD TOOK IT, IT HAD BEEN ATTACKED BY ANTS"
DRY,U,KUMO55,KELSEY,GU49A,11,Mouse,OPEN,39.75,39.75,3/30/2017 17:06,,,Yes,melted over trigger,,4/3/2017 10:48,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,LUMO40,LAUREN,H98,11,Mouse,OPEN,39.75,39.75,3/30/2017 10:27,,,Yes,"melted over trigger, ants, maggots",,4/2/2017 8:54,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMO51,KELSEY,GU39A,11,Mouse,OPEN,39.75,39.75,3/29/2017 17:30,,,Yes,"ant mound over trigger, bones",,4/1/2017 5:42,,5,0,,UNSCAVENGED,,,1,0,0,CANE TOAD,3/29/2017 23:15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,KTMO49,KELSEY,GU31A,11,Mouse,OPEN,39.75,39.75,3/29/2017 13:04,,,Yes,"melted over trigger, maggots",NO,,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,KTMO48,KELSEY,GU41B,11,Mouse,OPEN,39.75,39.75,3/29/2017 12:42,,,Yes,melted over trigger,,4/1/2017 3:06,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,KTMB47,KELSEY,GU48B,11,Mouse,BURROW,39.75,39.75,3/29/2017 11:10,,,Yes,melted over trigger,,4/1/2017 11:54,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
